CategoryID,Subcategory Name,Description,Attribute Name,Attribute Type,Required
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,RAM,number,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,ROM,number,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,Processor,string,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,Dimensions,string,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,Battery,number,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,Camera,string,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,Operating System,string,TRUE
678f3e3ad0c3be2e0126ef73,Mobile,Smartphones and mobile devices,Screen Size,number,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,RAM,number,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,Storage,number,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,Processor,string,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,Screen Size,number,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,Battery,number,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,Operating System,string,TRUE
678f3e3ad0c3be2e0126ef73,Laptop,Personal computing devices,Graphics Card,string,FALSE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Sensor Type,string,TRUE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Resolution,string,TRUE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Lens Type,string,TRUE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Screen Size,number,TRUE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Battery,number,TRUE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Weight,number,FALSE
678f3e3ad0c3be2e0126ef73,Camera,Photography equipment,Image Stabilization,boolean,FALSE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,Battery Life,number,TRUE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,Display Type,string,TRUE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,GPS,boolean,FALSE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,Heart Rate Monitor,boolean,TRUE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,Water Resistance,string,FALSE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,Compatible OS,string,TRUE
678f3e3ad0c3be2e0126ef73,Smartwatch,Wearable technology,Band Material,string,FALSE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Connectivity,string,TRUE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Battery Life,number,TRUE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Noise Cancellation,boolean,FALSE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Driver Size,number,FALSE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Bluetooth Version,string,TRUE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Weight,number,FALSE
678f3e3ad0c3be2e0126ef73,Headphones,Audio devices,Water Resistance,string,FALSE
678f3e3ad0c3be2e0126ef73,TVs,Television sets,Screen Size,number,TRUE
678f3e3ad0c3be2e0126ef73,TVs,Television sets,Resolution,string,TRUE
678f3e3ad0c3be2e0126ef73,TVs,Television sets,Smart TV,boolean,TRUE
678f3e3ad0c3be2e0126ef73,TVs,Television sets,Connectivity,string,TRUE
678f3e3ad0c3be2e0126ef73,TVs,Television sets,HDR,boolean,FALSE
